Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9886999328708883,0.9843274853801169,0.991984912776992,0.9881413643301632
KNN,0.7356231819198926,0.9272396543883583,0.48066949552098065,0.6331315013196709
Random Forest,0.9975385992392034,0.9955378111789572,0.9992927864214993,0.9974117647058823
Neural Network,0.9922801521593198,0.9924474864290772,0.9912776991984913,0.9918622479065927
